Timestamp,Electricity Usage (kW),Water Consumption (Liters),Traffic Density (Vehicles/Min),Waste Level (%),Zone,Event/Anomaly
2025-04-17 18:31:33.039055,324.84,12798.71,39,60.98,Zone A,None
2025-04-17 19:31:33.039055,293.09,11849.27,84,29.14,Zone A,
2025-04-17 20:31:33.039055,332.38,10119.26,81,81.18,Zone C,Festival
2025-04-17 21:31:33.039055,376.15,8706.13,12,74.31,Zone B,
2025-04-17 22:31:33.039055,288.29,11396.45,23,81.84,Zone B,
2025-04-17 23:31:33.039055,288.29,10786.97,69,96.12,Zone B,Maintenance
2025-04-18 00:31:33.039055,378.96,11790.39,86,82.12,Zone A,None
2025-04-18 01:31:33.039055,338.37,11270.34,54,68.91,Zone A,None
2025-04-18 02:31:33.039055,276.53,12099.11,43,88.58,Zone D,Power Outage
2025-04-18 03:31:33.039055,327.13,8929.53,54,73.86,Zone A,Festival
2025-04-18 04:31:33.039055,276.83,12634.79,70,52.65,Zone A,Festival
2025-04-18 05:31:33.039055,276.71,10395.2,92,90.85,Zone A,Maintenance
2025-04-18 06:31:33.039055,312.1,14150.52,25,37.75,Zone B,Festival
2025-04-18 07:31:33.039055,204.34,8621.62,75,77.17,Zone B,None
2025-04-18 08:31:33.039055,213.75,13471.93,49,90.53,Zone A,Maintenance
2025-04-18 09:31:33.039055,271.89,10395.82,26,78.51,Zone B,Festival
2025-04-18 10:31:33.039055,249.36,8697.16,43,75.78,Zone D,Maintenance
2025-04-18 11:31:33.039055,315.71,9032.23,25,80.21,Zone B,Festival
2025-04-18 12:31:33.039055,254.6,9359.31,69,57.2,Zone D,Festival
2025-04-18 13:31:33.039055,229.38,10848.33,75,89.93,Zone C,Power Outage
2025-04-18 14:31:33.039055,373.28,11045.67,75,36.27,Zone A,Festival
2025-04-18 15:31:33.039055,288.71,8852.6,99,30.19,Zone B,Maintenance
2025-04-18 16:31:33.039055,303.38,9951.29,22,42.84,Zone D,None
2025-04-18 17:31:33.039055,228.76,14284.54,65,62.53,Zone C,Power Outage
2025-04-18 18:31:33.039055,272.78,13455.09,40,60.84,Zone C,Festival
2025-04-18 19:31:33.039055,305.55,10872.65,43,85.65,Zone B,Festival
2025-04-18 20:31:33.039055,242.45,10076.01,48,52.37,Zone B,Maintenance
2025-04-18 21:31:33.039055,318.78,10240.06,76,58.75,Zone C,Power Outage
2025-04-18 22:31:33.039055,269.97,11227.04,17,21.07,Zone A,Festival
2025-04-18 23:31:33.039055,285.42,7954.41,96,52.78,Zone A,None
2025-04-19 00:31:33.039055,269.91,9485.25,87,71.82,Zone D,
2025-04-19 01:31:33.039055,392.61,6662.83,64,21.24,Zone A,None
2025-04-19 02:31:33.039055,299.33,10798.45,36,42.47,Zone C,Festival
2025-04-19 03:31:33.039055,247.11,11294.39,62,36.64,Zone C,None
2025-04-19 04:31:33.039055,341.13,9033.63,48,23.36,Zone C,Power Outage
2025-04-19 05:31:33.039055,238.96,13147.97,74,58.34,Zone A,Festival
2025-04-19 06:31:33.039055,310.44,7548.47,26,34.54,Zone D,Maintenance
2025-04-19 07:31:33.039055,202.02,7071.25,39,79.45,Zone A,Power Outage
2025-04-19 08:31:33.039055,233.59,10448.9,62,87.83,Zone D,None
2025-04-19 09:31:33.039055,309.84,12094.2,22,63.65,Zone A,Festival
2025-04-19 10:31:33.039055,336.92,13367.86,30,98.54,Zone C,Power Outage
2025-04-19 11:31:33.039055,308.57,9082.23,28,56.04,Zone C,None
2025-04-19 12:31:33.039055,294.22,12157.36,62,61.07,Zone B,Festival
2025-04-19 13:31:33.039055,284.94,9922.98,28,99.14,Zone A,
2025-04-19 14:31:33.039055,226.07,9654.75,66,38.52,Zone A,Heavy Rain
2025-04-19 15:31:33.039055,264.01,11767.32,34,95.4,Zone B,Maintenance
2025-04-19 16:31:33.039055,276.97,11304.65,95,23.43,Zone C,None
2025-04-19 17:31:33.039055,352.86,6847.22,40,55.71,Zone A,
2025-04-19 18:31:33.039055,317.18,12953.08,90,25.6,Zone B,None
2025-04-19 19:31:33.039055,211.85,12760.18,64,78.34,Zone A,Heavy Rain
2025-04-19 20:31:33.039055,316.2,8748.87,32,68.67,Zone D,Heavy Rain
2025-04-19 21:31:33.039055,280.75,10791.61,41,76.53,Zone C,Power Outage
2025-04-19 22:31:33.039055,266.15,10988.06,71,49.96,Zone D,Maintenance
2025-04-19 23:31:33.039055,330.58,10521.35,83,49.56,Zone C,Maintenance
2025-04-20 00:31:33.039055,351.55,8899.39,19,23.63,Zone B,None
2025-04-20 01:31:33.039055,346.56,8656.75,81,48.0,Zone C,Heavy Rain
2025-04-20 02:31:33.039055,258.04,9948.89,63,94.34,Zone C,Maintenance
2025-04-20 03:31:33.039055,284.54,12345.46,61,50.34,Zone B,Festival
2025-04-20 04:31:33.039055,316.56,11087.2,29,86.51,Zone C,Maintenance
